Hsp60C CG31740 1.0 58
CG12050 Sas10 0.95027643 119
CG30349 U3-55K 0.9502703 119
CG7728 l(1)G0004 0.9502586 119
CG4866 CG12325 0.9502432 119
U3-55K CG5728 0.95022726 119
CG3071 CG7275 0.9501997 119
CG4554 CG11920 0.9501991 119
l(1)G0004 l(3)72Dn 0.95018965 119
CG12050 CG7275 0.95016605 119
CG3735 CG8064 0.95013916 119
l(1)G0020 kz 0.9501353 119
CG4554 l(2)k09022 0.9501282 119
CG4866 CG7246 0.9501203 119
CG3735 CG1671 0.9501187 119
CG3735 CG12301 0.9500896 119
l(1)G0004 CG3071 0.9500809 119
CG2260 CG4554 0.9500764 119
Rtc1 Sas10 0.95005137 117
l(1)G0004 CG12050 0.9500471 119
CG30349 dbe 0.9500456 119
nop5 U3-55K 0.9500336 119
CG3735 CG13097 0.9500331 119
U3-55K Nop56 0.95001334 119
CG4554 Nop56 0.9500074 119
U3-55K CG7728 0.9500062 119
CG3735 wcd 0.9500054 119
U3-55K CG12325 0.9500028 119
CG3735 Nop56 0.9499907 119
U3-55K CG8064 0.9499853 119
CG4554 CG7246 0.9499719 119
l(2)k09022 dbe 0.9499719 119
U3-55K CG9799 0.94997174 119
l(2)k09022 Sas10 0.94996417 119
CG7275 Fib 0.9499637 117
CG4866 l(3)72Dn 0.9499627 119
CG30349 kz 0.94996136 119
CG4554 wcd 0.9499557 119
U3-55K CG13097 0.9499516 119
CG3735 l(3)07882 0.94994897 119
U3-55K l(3)07882 0.94993 119
U3-55K CG12301 0.94991344 119
CG4554 CG12050 0.94990516 119
U3-55K CG1671 0.94990236 119
CG30349 Sas10 0.94990224 119
U3-55K l(2)k09022 0.94989824 119
CG30349 CG7275 0.9498878 119
U3-55K wcd 0.94988656 119
kz bys 0.94988173 119
U3-55K l(3)72Dn 0.9498709 119
CG4866 CG3071 0.9498649 119
CG4866 Fib 0.94985616 117
l(2)k09022 CG7275 0.9498502 119
l(1)G0020 Sas10 0.9498358 119
CG2260 U3-55K 0.94982976 119
CG4866 CG12050 0.9498295 119
CG4866 l(1)G0020 0.9498087 119
CG3735 CG9799 0.9497963 119
U3-55K CG11920 0.9497955 119
U3-55K CG2875 0.9497913 119
CG4554 CG30349 0.9497813 119
CG7275 CG13096 0.9497682 119
CG12325 CG3735 0.94974244 119
CG30349 l(1)G0004 0.949736 119
CG3735 CG7338 0.9497204 119
U3-55K CG7246 0.9497115 119
U3-55K CG12050 0.94970816 119
Sas10 Fib 0.9497056 117
l(1)G0004 l(2)k09022 0.94969475 119
kz CG12050 0.9496886 119
Sas10 CG13096 0.9496819 119
CG3735 CG7246 0.9496802 119
CG4554 CG12301 0.9496574 119
kz l(3)07882 0.9496521 119
l(1)G0020 CG7275 0.94964814 119
U3-55K CG3071 0.9496408 119
dbe l(1)G0020 0.9496388 119
CG7728 CG3735 0.9496356 119
CG3735 CG5589 0.94961 117
CG3735 l(3)72Dn 0.94960064 119
CG3735 Fib 0.9495962 117
CG4866 l(2)k09022 0.9495755 119
kz l(3)72Dn 0.9495592 119
CG3527 CG7275 0.9495554 117
CG3735 CG5728 0.9495472 119
kz CG12301 0.9495356 119
CG3527 Sas10 0.9495245 117
CG4866 CG3527 0.94951993 117
CG4554 bys 0.9494968 119
CG4866 CG30349 0.949474 119
CG4554 CG12325 0.94946647 119
CG3071 kz 0.94946265 119
kz CG5728 0.94943285 119
CG3735 CG12050 0.94942665 119
CG4554 CG5728 0.9494123 119
CG3735 CG3527 0.9493915 117
kz CG8064 0.94938457 119
l(1)G0004 CG5589 0.9493745 117
kz CG1671 0.949366 119
l(1)G0004 l(1)G0020 0.9493626 119
CG11920 kz 0.94934094 119
